"fromTmpID","toTmpID","type","constraints"
"A02","C00","HAS_CLASS",
"A02","U00","HAS_CLASS",
"A02","P00","HAS_CLASS",
"A02","M00","HAS_CLASS",
"A02","F00","HAS_CLASS",
"A02","FV00","HAS_CLASS",
"A02","L00","HAS_CLASS",
"A02","MR00","HAS_CLASS",
"A02","R00","HAS_CLASS",
"C00","U00","HAS_USERS",
"C00","P00","HAS_PROJECTS",
"P00","U00","RECOGNISES",
"P00","M00","HAS_MODELS",
"MR00","MR00","DERIVED_FROM","LIST OF STRING"
"MR00","MR00","DECOMPOSED_FROM","LIST OF STRING"
"MR00","MR00","REFERENCES","LIST OF STRING"
"MR00","F00","HAS_FIELD",
"R00","FV00","HAS_VALUE",
"F00","FV00","HAS_FIELDVALUE",
"FV00","FV00","IS_PART_OF",
