"labels","value","fieldValueSetId","fieldValueId","seq","parentId"
"FieldValue","STAKEHOLDERS","SN_subject","fv0001",0,"n/a"
"FieldValue","SUPPLIER","SN_subject","fv0002",1,"fv0001"
"FieldValue","RA DEPT","SN_subject","fv0003",2,"fv0002"
"FieldValue","PRODUCTION DEPT","SN_subject","fv0004",3,"fv0002"
"FieldValue","CLINICAL DEPT","SN_subject","fv0005",4,"fv0002"
"FieldValue","MKT DEPT","SN_subject","fv0006",5,"fv0002"
"FieldValue","CUSTOMER","SN_subject","fv0007",6,"fv0001"
"FieldValue","PATIENT-USER","SN_subject","fv0008",7,"fv0007"
"FieldValue","DEVICE","TR_subject","fv0009",0,"n/a"
"FieldValue","CONTROLLER","TR_subject","fv0010",1,"fv0009"
"FieldValue","PCBA","TR_subject","fv0011",2,"fv0010"
"FieldValue","BOLUS BUTTON","TR_subject","fv0012",3,"fv0010"
"FieldValue","ENCODER","TR_subject","fv0013",4,"fv0010"
"FieldValue","MOTOR DRIVE ASSY","TR_subject","fv0014",5,"fv0010"
"FieldValue","RELEASE MECHANISM BUTTON","TR_subject","fv0015",6,"fv0010"
"FieldValue","START_PAUSE BUTTON","TR_subject","fv0016",7,"fv0010"
"FieldValue","POD","TR_subject","fv0017",8,"fv0009"
"FieldValue","CONTAINER","TR_subject","fv0018",9,"fv0017"
"FieldValue","SKIN NEEDLE","TR_subject","fv0019",10,"fv0017"
"FieldValue","FLUIDIC PATHWAY","TR_subject","fv0020",11,"fv0017"
"FieldValue","NEEDLE SHIELD","TR_subject","fv0021",12,"fv0017"
"FieldValue","SEPTUM NEEDLE","TR_subject","fv0022",13,"fv0017"
"FieldValue","ADHESIVE PATCH","TR_subject","fv0023",14,"fv0017"
"FieldValue","KITTED DEVICE","TR_subject","fv0024",15,"fv0009"
"FieldValue","Packaging, Handling, Shipping And Transportation","SN_category","fv0025",0,"n/a"
"FieldValue","Labelling And Marking","SN_category","fv0026",1,"n/a"
"FieldValue","Environmental","SN_category","fv0027",2,"n/a"
"FieldValue","Physical And Aesthetical","SN_category","fv0028",3,"n/a"
"FieldValue","Architecture And Design Decisions","SN_category","fv0029",4,"n/a"
"FieldValue","Normative and Applicable Standard-derived","SN_category","fv0030",5,"n/a"
"FieldValue","Safety","SN_category","fv0031",6,"n/a"
"FieldValue","Manufacturing","SN_category","fv0032",7,"n/a"
"FieldValue","Capability & Performance","SN_category","fv0033",8,"n/a"
"FieldValue","Operation& Function","SN_category","fv0034",9,"n/a"
"FieldValue","Markets & Regulations","SN_category","fv0035",10,"n/a"
"FieldValue","UI","SN_category","fv0036",11,"n/a"
"FieldValue","Function And Performance","SN_category","fv0037",12,"n/a"
"FieldValue","Characteristics & Properties","SN_category","fv0038",13,"n/a"
"FieldValue","Security","SN_category","fv0039",14,"n/a"
"FieldValue","Purpose","SN_category","fv0040",15,"n/a"
"FieldValue","UI & Ease of use","SN_category","fv0041",16,"n/a"
"FieldValue","USER TEST","SN_validmethod","fv0042",0,"n/a"
"FieldValue","QUESTIONNAIRE","SN_validmethod","fv0043",1,"n/a"
"FieldValue","INTERVIEW","SN_validmethod","fv0044",2,"n/a"
"FieldValue","ANALYSIS","SN_validmethod","fv0045",3,"n/a"
"FieldValue","UI & Ease of use","TR_category","fv0046",0,"n/a"
"FieldValue","Manufacturing","TR_category","fv0047",1,"n/a"
"FieldValue","Labelling And Marking","TR_category","fv0048",2,"n/a"
"FieldValue","Function And Performance","TR_category","fv0049",3,"n/a"
"FieldValue","UI","TR_category","fv0050",4,"n/a"
"FieldValue","Security","TR_category","fv0051",5,"n/a"
"FieldValue","Normative and Applicable Standard-derived","TR_category","fv0052",6,"n/a"
"FieldValue","Capability & Performance","TR_category","fv0053",7,"n/a"
"FieldValue","Operation& Function","TR_category","fv0054",8,"n/a"
"FieldValue","Physical And Aesthetical","TR_category","fv0055",9,"n/a"
"FieldValue","Architecture And Design Decisions","TR_category","fv0056",10,"n/a"
"FieldValue","Environmental","TR_category","fv0057",11,"n/a"
"FieldValue","Safety","TR_category","fv0058",12,"n/a"
"FieldValue","Purpose","TR_category","fv0059",13,"n/a"
"FieldValue","Characteristics & Properties","TR_category","fv0060",14,"n/a"
"FieldValue","Packaging, Handling, Shipping And Transportation","TR_category","fv0061",15,"n/a"
"FieldValue","Markets & Regulations","TR_category","fv0062",16,"n/a"
"FieldValue","Analysis","TR_verifmethod","fv0063",0,"n/a"
"FieldValue","Demonstration","TR_verifmethod","fv0064",1,"n/a"
"FieldValue","Trace","TR_verifmethod","fv0065",2,"n/a"
"FieldValue","Test","TR_verifmethod","fv0066",3,"n/a"
"FieldValue","Inspection","TR_verifmethod","fv0067",4,"n/a"
"FieldValue","true","SN_userneed","fv0068",0,"n/a"
"FieldValue","false","SN_userneed","fv0069",1,"n/a"
"FieldValue","true","TR_riskcontrol","fv0070",0,"n/a"
"FieldValue","false","TR_riskcontrol","fv0071",1,"n/a"
"FieldValue","Device Purpose","0_title","fv0072",0,"n/a"
"FieldValue","be an on-body drug delivery device suitable for home use with multiple drug formulations.","0_specification","fv0073",0,"n/a"
"FieldValue","Purpose comments text","0_comments","fv0074",0,"n/a"
"FieldValue","Purpose source text","0_source","fv0075",0,"n/a"
"FieldValue","Drug access","301_title","fv0076",0,"n/a"
"FieldValue","Fixed drug delivery parameters","302_title","fv0077",0,"n/a"
"FieldValue","Sales territories","303_title","fv0078",0,"n/a"
"FieldValue","Architecture","308_title","fv0079",0,"n/a"
"FieldValue","Prevention of needle-stick injuries","305_title","fv0080",0,"n/a"
"FieldValue","Needle safety","339_title","fv0081",0,"n/a"
"FieldValue","Delivery conditions","345_title","fv0082",0,"n/a"
"FieldValue","Device noise level","309_title","fv0083",0,"n/a"
"FieldValue","Drug maximum volume","311_title","fv0084",0,"n/a"
"FieldValue","Basal flow rate","313_title","fv0085",0,"n/a"
"FieldValue","Attachment to the body","306_title","fv0086",0,"n/a"
"FieldValue","Convenient and intuitive operation","307_title","fv0087",0,"n/a"
"FieldValue","Ease of use","346_title","fv0088",0,"n/a"
"FieldValue","Bolus button","347_title","fv0089",0,"n/a"
"FieldValue","Bolus availability","348_title","fv0090",0,"n/a"
"FieldValue","Bolus delivery feedback","349_title","fv0091",0,"n/a"
"FieldValue","Device status indication","350_title","fv0092",0,"n/a"
"FieldValue","Administration completion feedback","351_title","fv0093",0,"n/a"
"FieldValue","Usability","352_title","fv0094",0,"n/a"
"FieldValue","Injection needle diameter","325_title","fv0095",0,"n/a"
"FieldValue","Sterilization","326_title","fv0096",0,"n/a"
"FieldValue","Stopping conditions","331_title","fv0097",0,"n/a"
"FieldValue","Injection site","334_title","fv0098",0,"n/a"
"FieldValue","Pause function","337_title","fv0099",0,"n/a"
"FieldValue","Needle protection irreversible actuation","341_title","fv0100",0,"n/a"
"FieldValue","Needle protection not reversible","343_title","fv0101",0,"n/a"
"FieldValue","Device storage shelf life","329_title","fv0102",0,"n/a"
"FieldValue","Dosing performance","304_title","fv0103",0,"n/a"
"FieldValue","Drug viscosity","310_title","fv0104",0,"n/a"
"FieldValue","Air management","312_title","fv0105",0,"n/a"
"FieldValue","Minimum delivery increment","314_title","fv0106",0,"n/a"
"FieldValue","Dose accuracy - basal","315_title","fv0107",0,"n/a"
"FieldValue","Boluses quantity","316_title","fv0108",0,"n/a"
"FieldValue","Bolus volume","317_title","fv0109",0,"n/a"
"FieldValue","Missed volume","318_title","fv0110",0,"n/a"
"FieldValue","Dose accuracy - bolus","319_title","fv0111",0,"n/a"
"FieldValue","Adherence time","320_title","fv0112",0,"n/a"
"FieldValue","Self-sufficiency","321_title","fv0113",0,"n/a"
"FieldValue","Ingress protection","322_title","fv0114",0,"n/a"
"FieldValue","Dose configurations","324_title","fv0115",0,"n/a"
"FieldValue","Device dimensions","328_title","fv0116",0,"n/a"
"FieldValue","Skin adherence","335_title","fv0117",0,"n/a"
"FieldValue","Needle insertion","332_title","fv0118",0,"n/a"
"FieldValue","Needle insertion period","333_title","fv0119",0,"n/a"
"FieldValue","Bolus availability quantity","336_title","fv0120",0,"n/a"
"FieldValue","Needle injection length","338_title","fv0121",0,"n/a"
"FieldValue","Pre-filling","323_title","fv0122",0,"n/a"
"FieldValue","Delivery profile settings","327_title","fv0123",0,"n/a"
"FieldValue","Drug access","340_title","fv0124",0,"n/a"
"FieldValue","Needle protection compliance","342_title","fv0125",0,"n/a"
"FieldValue","Dose configuration management","344_title","fv0126",0,"n/a"
"FieldValue","Device safety compliance","330_title","fv0127",0,"n/a"
"FieldValue","be able to demonstrate that the USER cannot gain direct access to the drug.","301_specification","fv0128",0,"n/a"
"FieldValue","be able to demonstrate that the USER cannot modify the preset drug delivery parameters.","302_specification","fv0129",0,"n/a"
"FieldValue","be able to market the DEVICE in the following regions: US, Europe and Brazil.","303_specification","fv0130",0,"n/a"
"FieldValue","be able to show that the Architecture defined in Doc_nnn has been fulfilled.","308_specification","fv0131",0,"n/a"
"FieldValue","be protected form needle-stick injuries.","305_specification","fv0132",0,"n/a"
"FieldValue","not be exposed to an unprotected needle tip at any stage of the DEVICE operation.","339_specification","fv0133",0,"n/a"
"FieldValue","be able to deliver the drug into subcutaneous tissue via a single button press.","345_specification","fv0134",0,"n/a"
"FieldValue","be able to sleep undisturbed during normal operating conditions.","309_specification","fv0135",0,"n/a"
"FieldValue","be able to receive a minimum total dose of 2 ml of drug per disposable part.","311_specification","fv0136",0,"n/a"
"FieldValue","receive the drug dosage at the following flow rates only:  20 ¬± 0.5 ¬µL/hr, 30 ¬± 0.5 ¬µL/hr, 40 ¬± 0.5 ¬µL/hr","313_specification","fv0137",0,"n/a"
"FieldValue","be able to attach the DEVICE to the body.","306_specification","fv0138",0,"n/a"
"FieldValue","find the device simple and convenient to use.","307_specification","fv0139",0,"n/a"
"FieldValue","be able to operate the DEVICE without training.","346_specification","fv0140",0,"n/a"
"FieldValue","be able to release a pre-programmed bolus on demand.","347_specification","fv0141",0,"n/a"
"FieldValue","be able to understand the bolus availability at any moment during therapy.","348_specification","fv0142",0,"n/a"
"FieldValue","be able to understand that the DEVICE has successfully delivered the drug.","349_specification","fv0143",0,"n/a"
"FieldValue","be able to understand the status of the DEVICE during operation (e.g. pause, delivery, battery low).","350_specification","fv0144",0,"n/a"
"FieldValue","be able to understand when the disposable part needs to be replaced.","351_specification","fv0145",0,"n/a"
"FieldValue","perceive the DEVICE to be easy to use.","352_specification","fv0146",0,"n/a"
"FieldValue","receive the drug via a 29G TW or STW rigid injection needle.","325_specification","fv0147",0,"n/a"
"FieldValue","receive the DEVICE with the entire fluid path in a sterilized condition.","326_specification","fv0148",0,"n/a"
"FieldValue","experience that the DEVICE to stops operating within 5 secs of being removed from the body.","331_specification","fv0149",0,"n/a"
"FieldValue","be able to wear the DEVICE on the upper arm, abdomen, or thigh.","334_specification","fv0150",0,"n/a"
"FieldValue","be able to activate a "Pause" function that suspends all drug delivery indefinitely or until re-activation is requested.","337_specification","fv0151",0,"n/a"
"FieldValue","be able to claim that the DEVICE has an irreversible needle protetion device.","341_specification","fv0152",0,"n/a"
"FieldValue","be able to claim that needle protection features are non-resettable.","343_specification","fv0153",0,"n/a"
"FieldValue","be able to claim that non-disposable parts have a storage shelf life at room temperature of 36 months.","329_specification","fv0154",0,"n/a"
"FieldValue","be able to claim marketing-leading dosing performance and accuracy.","304_specification","fv0155",0,"n/a"
"FieldValue","be able to market the DEVICE with drugs of viscosity 2.1 ¬± 0.5 cP solution.","310_specification","fv0156",0,"n/a"
"FieldValue","be able to claim a maximum error of 5% in total delivered volume per disposable part.","312_specification","fv0157",0,"n/a"
"FieldValue","be able to claim a minimum delivery increment of maximum 6 ¬µL.","314_specification","fv0158",0,"n/a"
"FieldValue","be able to claim a volumetric delivery accuracy of 20% per hour.","315_specification","fv0159",0,"n/a"
"FieldValue","requires that the DEVICE be capable of delivering up to 40 discrete boluses per disposable part.","316_specification","fv0160",0,"n/a"
"FieldValue","requires that there are three discrete bolus delivery volumes: 10, 20 and 30 ¬µL.","317_specification","fv0161",0,"n/a"
"FieldValue","be able to claim a maximum cumulative fluid delivery volume loss of  12 uL per disposable part.","318_specification","fv0162",0,"n/a"
"FieldValue","be able to claim a delivery accuracy of ¬±3 %.","319_specification","fv0163",0,"n/a"
"FieldValue","be able to demonstrate that the DEVICE remains adhered to patient for a minimum of 24 hrs during normal use.","320_specification","fv0164",0,"n/a"
"FieldValue","be able to claim that the DEVICE is self-contained and requires no other additional componenst for normal use.","321_specification","fv0165",0,"n/a"
"FieldValue","be able to claim that the assembled DEVICE has a minimum IPX5 rating.","322_specification","fv0166",0,"n/a"
"FieldValue","requires that the DEVICE be available in two configurations of high and low basal/bolus dose configurations that are pre-set at the factory.","324_specification","fv0167",0,"n/a"
"FieldValue","be able to claim that the DEVICE dimensions are no greater than 120 x 50 x 15 mm in its assembled state (not including the skin patch).","328_specification","fv0168",0,"n/a"
"FieldValue","be able to market the DEVICE as adhering to the body without the need for additional fixing methods, such as tape.","335_specification","fv0169",0,"n/a"
"FieldValue","be able to demonstrate that USER-PATIENT activation of the device is necessary before needle insertion.","332_specification","fv0170",0,"n/a"
"FieldValue","be able to demonstrate that, once inserted, the injection needle shall remain within the subcutaneous tissue for the entire use period.","333_specification","fv0171",0,"n/a"
"FieldValue","be able to demonstrate that the availability of doses is limited as follows: 3 in the first hour, 2 in subsequent hours.","336_specification","fv0172",0,"n/a"
"FieldValue","be able to demonstrate that the nominal injection depth is 5 mm.","338_specification","fv0173",0,"n/a"
"FieldValue","receive the disposable part with the drug pre-filled.","323_specification","fv0174",0,"n/a"
"FieldValue","be able to program the DEVICE at chip component level during manufacturing.","327_specification","fv0175",0,"n/a"
"FieldValue","be able to demonstrate that accesss to the drug is not possible without using destructive means.","340_specification","fv0176",0,"n/a"
"FieldValue","be able to show that the needle protection features of the DEVICE prevent injury when tested in accordance with ISO 23908 requirements and test methods.","342_specification","fv0177",0,"n/a"
"FieldValue","be able to show that dose configuration cannot be changed after production.","344_specification","fv0178",0,"n/a"
"FieldValue","be able to demonstrate that the DEVICE is compliant with the electrical safety regulations for Class II medical devices in Europe, North America and Brazil.","330_specification","fv0179",0,"n/a"
"FieldValue","Comments hereÖ","301_comments","fv0180",0,"n/a"
"FieldValue","Comments hereÖ","302_comments","fv0181",0,"n/a"
"FieldValue","Comments hereÖ","303_comments","fv0182",0,"n/a"
"FieldValue","Comments hereÖ","308_comments","fv0183",0,"n/a"
"FieldValue","Comments hereÖ","305_comments","fv0184",0,"n/a"
"FieldValue","Comments hereÖ","339_comments","fv0185",0,"n/a"
"FieldValue","Comments hereÖ","345_comments","fv0186",0,"n/a"
"FieldValue","Comments hereÖ","309_comments","fv0187",0,"n/a"
"FieldValue","Comments hereÖ","311_comments","fv0188",0,"n/a"
"FieldValue","Comments hereÖ","313_comments","fv0189",0,"n/a"
"FieldValue","Comments hereÖ","306_comments","fv0190",0,"n/a"
"FieldValue","Comments hereÖ","307_comments","fv0191",0,"n/a"
"FieldValue","Comments hereÖ","346_comments","fv0192",0,"n/a"
"FieldValue","Comments hereÖ","347_comments","fv0193",0,"n/a"
"FieldValue","Comments hereÖ","348_comments","fv0194",0,"n/a"
"FieldValue","Comments hereÖ","349_comments","fv0195",0,"n/a"
"FieldValue","Comments hereÖ","350_comments","fv0196",0,"n/a"
"FieldValue","Comments hereÖ","351_comments","fv0197",0,"n/a"
"FieldValue","Comments hereÖ","352_comments","fv0198",0,"n/a"
"FieldValue","Comments hereÖ","325_comments","fv0199",0,"n/a"
"FieldValue","Comments hereÖ","326_comments","fv0200",0,"n/a"
"FieldValue","Comments hereÖ","331_comments","fv0201",0,"n/a"
"FieldValue","Comments hereÖ","334_comments","fv0202",0,"n/a"
"FieldValue","Comments hereÖ","337_comments","fv0203",0,"n/a"
"FieldValue","Comments hereÖ","341_comments","fv0204",0,"n/a"
"FieldValue","Comments hereÖ","343_comments","fv0205",0,"n/a"
"FieldValue","Comments hereÖ","329_comments","fv0206",0,"n/a"
"FieldValue","Comments hereÖ","304_comments","fv0207",0,"n/a"
"FieldValue","Comments hereÖ","310_comments","fv0208",0,"n/a"
"FieldValue","Comments hereÖ","312_comments","fv0209",0,"n/a"
"FieldValue","Comments hereÖ","314_comments","fv0210",0,"n/a"
"FieldValue","Comments hereÖ","315_comments","fv0211",0,"n/a"
"FieldValue","Comments hereÖ","316_comments","fv0212",0,"n/a"
"FieldValue","Comments hereÖ","317_comments","fv0213",0,"n/a"
"FieldValue","Comments hereÖ","318_comments","fv0214",0,"n/a"
"FieldValue","Comments hereÖ","319_comments","fv0215",0,"n/a"
"FieldValue","Comments hereÖ","320_comments","fv0216",0,"n/a"
"FieldValue","Comments hereÖ","321_comments","fv0217",0,"n/a"
"FieldValue","Comments hereÖ","322_comments","fv0218",0,"n/a"
"FieldValue","Comments hereÖ","324_comments","fv0219",0,"n/a"
"FieldValue","Comments hereÖ","328_comments","fv0220",0,"n/a"
"FieldValue","Comments hereÖ","335_comments","fv0221",0,"n/a"
"FieldValue","Comments hereÖ","332_comments","fv0222",0,"n/a"
"FieldValue","Comments hereÖ","333_comments","fv0223",0,"n/a"
"FieldValue","Comments hereÖ","336_comments","fv0224",0,"n/a"
"FieldValue","Comments hereÖ","338_comments","fv0225",0,"n/a"
"FieldValue","Comments hereÖ","323_comments","fv0226",0,"n/a"
"FieldValue","Comments hereÖ","327_comments","fv0227",0,"n/a"
"FieldValue","Comments hereÖ","340_comments","fv0228",0,"n/a"
"FieldValue","Comments hereÖ","342_comments","fv0229",0,"n/a"
"FieldValue","Comments hereÖ","344_comments","fv0230",0,"n/a"
"FieldValue","Comments hereÖ","330_comments","fv0231",0,"n/a"
