"tmpID","labels","value","reqType","fieldName","modeluid","uid","seq","parentId"
"fv0001","FieldValue","STAKEHOLDERS","STAKEHOLDER","subject","","",0,"N/A"
"fv0002","FieldValue","SUPPLIER","STAKEHOLDER","subject","","",1,"fv0001"
"fv0003","FieldValue","RA DEPT","STAKEHOLDER","subject","","",2,"fv0002"
"fv0004","FieldValue","PRODUCTION DEPT","STAKEHOLDER","subject","","",3,"fv0002"
"fv0005","FieldValue","CLINICAL DEPT","STAKEHOLDER","subject","","",4,"fv0002"
"fv0006","FieldValue","MKT DEPT","STAKEHOLDER","subject","","",5,"fv0002"
"fv0007","FieldValue","CUSTOMER","STAKEHOLDER","subject","","",6,"fv0001"
"fv0008","FieldValue","PATIENT-USER","STAKEHOLDER","subject","","",7,"fv0007"
"fv0009","FieldValue","DEVICE","TECHNICAL","subject","","",0,"N/A"
"fv0010","FieldValue","CONTROLLER","TECHNICAL","subject","","",1,"fv0009"
"fv0011","FieldValue","PCBA","TECHNICAL","subject","","",2,"fv0010"
"fv0012","FieldValue","BOLUS BUTTON","TECHNICAL","subject","","",3,"fv0010"
"fv0013","FieldValue","ENCODER","TECHNICAL","subject","","",4,"fv0010"
"fv0014","FieldValue","MOTOR DRIVE ASSY","TECHNICAL","subject","","",5,"fv0010"
"fv0015","FieldValue","RELEASE MECHANISM BUTTON","TECHNICAL","subject","","",6,"fv0010"
"fv0016","FieldValue","START_PAUSE BUTTON","TECHNICAL","subject","","",7,"fv0010"
"fv0017","FieldValue","POD","TECHNICAL","subject","","",8,"fv0009"
"fv0018","FieldValue","CONTAINER","TECHNICAL","subject","","",9,"fv0017"
"fv0019","FieldValue","SKIN NEEDLE","TECHNICAL","subject","","",10,"fv0017"
"fv0020","FieldValue","FLUIDIC PATHWAY","TECHNICAL","subject","","",11,"fv0017"
"fv0021","FieldValue","NEEDLE SHIELD","TECHNICAL","subject","","",12,"fv0017"
"fv0022","FieldValue","SEPTUM NEEDLE","TECHNICAL","subject","","",13,"fv0017"
"fv0023","FieldValue","ADHESIVE PATCH","TECHNICAL","subject","","",14,"fv0017"
"fv0024","FieldValue","KITTED DEVICE","TECHNICAL","subject","","",15,"fv0009"
"fv0025","FieldValue","Packaging, Handling, Shipping And Transportation","STAKEHOLDER","category","","",0,"N/A"
"fv0026","FieldValue","Labelling And Marking","STAKEHOLDER","category","","",1,"N/A"
