"fromId","toId","type"
"301","0","DERIVED_FROM"
"302","0","DERIVED_FROM"
"305","0","DERIVED_FROM"
"308","0","DERIVED_FROM"
"306","0","DERIVED_FROM"
"307","0","DERIVED_FROM"
"303","0","DERIVED_FROM"
"304","0","DERIVED_FROM"
"360","301","DERIVED_FROM"
"340","301","DERIVED_FROM"
"323","301","DERIVED_FROM"
"361","301","DERIVED_FROM"
"357","301","DERIVED_FROM"
"385","302","DERIVED_FROM"
"336","302","DERIVED_FROM"
"344","302","DERIVED_FROM"
"330","303","DERIVED_FROM"
"329","303","DERIVED_FROM"
"326","303","DERIVED_FROM"
"315","304","DERIVED_FROM"
"333","304","DERIVED_FROM"
"325","304","DERIVED_FROM"
"327","304","DERIVED_FROM"
"310","304","DERIVED_FROM"
"314","304","DERIVED_FROM"
"319","304","DERIVED_FROM"
"313","304","DERIVED_FROM"
"338","304","DERIVED_FROM"
"316","304","DERIVED_FROM"
"312","304","DERIVED_FROM"
"332","304","DERIVED_FROM"
"318","304","DERIVED_FROM"
"324","304","DERIVED_FROM"
"311","304","DERIVED_FROM"
"317","304","DERIVED_FROM"
"339","305","DERIVED_FROM"
"341","305","DERIVED_FROM"
"342","305","DERIVED_FROM"
"331","305","DERIVED_FROM"
"379","305","REFERENCES"
"343","305","DERIVED_FROM"
"320","306","DERIVED_FROM"
"334","306","DERIVED_FROM"
"335","306","DERIVED_FROM"
"321","307","DERIVED_FROM"
"351","307","DERIVED_FROM"
"345","307","DERIVED_FROM"
"347","307","DERIVED_FROM"
"357","307","DERIVED_FROM"
"346","307","DERIVED_FROM"
"352","307","DERIVED_FROM"
"358","307","DERIVED_FROM"
"349","307","DERIVED_FROM"
"328","307","DERIVED_FROM"
"309","307","DERIVED_FROM"
"322","307","DERIVED_FROM"
"350","307","DERIVED_FROM"
"348","307","DERIVED_FROM"
"337","307","DERIVED_FROM"
"362","308","DERIVED_FROM"
"622","309","DERIVED_FROM"
"452","310","DERIVED_FROM"
"353","310","DERIVED_FROM"
"600","311","DERIVED_FROM"
"459","311","REFERENCES"
"458","311","REFERENCES"
"570","311","DERIVED_FROM"
"599","311","DERIVED_FROM"
"353","311","DERIVED_FROM"
"696","312","REFERENCES"
"557","312","REFERENCES"
"353","312","DERIVED_FROM"
"688","312","REFERENCES"
"613","312","DERIVED_FROM"
"585","312","DERIVED_FROM"
"459","312","REFERENCES"
"616","312","DERIVED_FROM"
"584","312","REFERENCES"
"698","312","REFERENCES"
"563","313","DERIVED_FROM"
"566","313","DERIVED_FROM"
"438","313","REFERENCES"
"436","313","REFERENCES"
"564","313","DERIVED_FROM"
"548","313","DERIVED_FROM"
"403","313","DERIVED_FROM"
"434","313","REFERENCES"
"568","313","REFERENCES"
"565","313","DERIVED_FROM"
"402","313","DERIVED_FROM"
"405","313","DERIVED_FROM"
"435","313","REFERENCES"
"406","313","DERIVED_FROM"
"354","313","DERIVED_FROM"
"439","313","REFERENCES"
"567","313","REFERENCES"
"437","313","REFERENCES"
"562","313","DERIVED_FROM"
"700","313","REFERENCES"
"353","314","DERIVED_FROM"
"472","315","REFERENCES"
"646","315","DERIVED_FROM"
"610","315","REFERENCES"
"473","315","REFERENCES"
"704","315","REFERENCES"
"471","315","REFERENCES"
"642","315","DERIVED_FROM"
"447","315","REFERENCES"
"469","315","REFERENCES"
"470","315","REFERENCES"
"569","315","DERIVED_FROM"
"606","315","REFERENCES"
"354","315","DERIVED_FROM"
"411","316","DERIVED_FROM"
"355","316","DERIVED_FROM"
"410","316","DERIVED_FROM"
"572","317","DERIVED_FROM"
"436","317","REFERENCES"
"407","317","DERIVED_FROM"
"549","317","DERIVED_FROM"
"700","317","REFERENCES"
"439","317","REFERENCES"
"412","317","DERIVED_FROM"
"575","317","DERIVED_FROM"
"409","317","DERIVED_FROM"
"580","317","DERIVED_FROM"
"576","317","REFERENCES"
"573","317","DERIVED_FROM"
"413","317","DERIVED_FROM"
"434","317","REFERENCES"
"438","317","REFERENCES"
"574","317","DERIVED_FROM"
"581","317","DERIVED_FROM"
"437","317","REFERENCES"
"355","317","DERIVED_FROM"
"435","317","REFERENCES"
"578","317","DERIVED_FROM"
"648","318","DERIVED_FROM"
"689","318","DERIVED_FROM"
"353","318","DERIVED_FROM"
"647","319","DERIVED_FROM"
"642","319","DERIVED_FROM"
"704","319","REFERENCES"
"355","319","DERIVED_FROM"
