FromId,ToId,Type
"14","1","TREE"
"15","1","TREE"
"16","1","TREE"
"17","1","TREE"
"18","1","TREE"
"19","1","TREE"
"20","1","TREE"
"21","1","TREE"
"22","2","TREE"
"23","2","TREE"
"24","2","TREE"
"25","2","TREE"
"26","2","TREE"
"27","2","TREE"
"28","2","TREE"
"29","2","TREE"
"30","2","TREE"
"31","2","TREE"
"32","2","TREE"
"33","2","TREE"
"34","2","TREE"
"35","2","TREE"
"36","2","TREE"
"37","2","TREE"
"38","3","SELECT_TEXT"
"39","3","SELECT_TEXT"
"40","3","SELECT_TEXT"
"41","3","SELECT_TEXT"
"42","3","SELECT_TEXT"
"43","3","SELECT_TEXT"
"44","3","SELECT_TEXT"
"45","3","SELECT_TEXT"
"46","3","SELECT_TEXT"
"47","3","SELECT_TEXT"
"48","3","SELECT_TEXT"
"49","3","SELECT_TEXT"
"50","3","SELECT_TEXT"
"51","3","SELECT_TEXT"
"52","3","SELECT_TEXT"
"53","3","SELECT_TEXT"
"54","3","SELECT_TEXT"
"55","4","SELECT_TEXT"
"56","4","SELECT_TEXT"
"57","4","SELECT_TEXT"
"58","4","SELECT_TEXT"
"59","4","SELECT_TEXT"
"60","4","SELECT_TEXT"
"61","4","SELECT_TEXT"
"62","4","SELECT_TEXT"
"63","4","SELECT_TEXT"
"64","4","SELECT_TEXT"
"65","4","SELECT_TEXT"
"66","4","SELECT_TEXT"
"67","4","SELECT_TEXT"
"68","4","SELECT_TEXT"
"69","4","SELECT_TEXT"
"70","4","SELECT_TEXT"
"71","4","SELECT_TEXT"
"72","5","SELECT_TEXT"
"73","5","SELECT_TEXT"
"74","5","SELECT_TEXT"
"75","5","SELECT_TEXT"
"76","5","SELECT_TEXT"
