Id,NodeClass,Seq,Suspect
301,"Stakeholder",1,False
302,"Stakeholder",3,False
303,"Stakeholder",5,False
304,"Stakeholder",7,False
305,"Stakeholder",9,False
306,"Stakeholder",11,False
307,"Stakeholder",13,False
308,"Stakeholder",15,False
309,"Stakeholder",17,False
310,"Stakeholder",19,False
311,"Stakeholder",21,False
312,"Stakeholder",23,False
313,"Stakeholder",25,False
314,"Stakeholder",27,False
315,"Stakeholder",29,False
316,"Stakeholder",31,False
317,"Stakeholder",33,False
318,"Stakeholder",35,False
319,"Stakeholder",37,False
320,"Stakeholder",39,False
321,"Stakeholder",41,False
322,"Stakeholder",43,False
323,"Stakeholder",45,False
324,"Stakeholder",47,False
325,"Stakeholder",49,False
326,"Stakeholder",51,False
327,"Stakeholder",53,False
328,"Stakeholder",55,False
329,"Stakeholder",57,False
330,"Stakeholder",59,False
331,"Stakeholder",61,False
332,"Stakeholder",63,False
333,"Stakeholder",65,False
334,"Stakeholder",67,False
335,"Stakeholder",69,False
336,"Stakeholder",71,False
337,"Stakeholder",73,False
338,"Stakeholder",75,False
339,"Stakeholder",77,False
340,"Stakeholder",79,False
341,"Stakeholder",81,False
342,"Stakeholder",83,False
343,"Stakeholder",85,False
344,"Stakeholder",87,False
345,"Stakeholder",89,False
346,"Stakeholder",91,False
347,"Stakeholder",93,False
348,"Stakeholder",95,False
349,"Stakeholder",97,False
350,"Stakeholder",99,False
351,"Stakeholder",101,False
352,"Stakeholder",103,False
